,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
31,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-09-22,,LISA WELLS,F,1923-08-24,5435,,KARENGREENE@YAHOO.COM
32,UNIVERSIDAD DE FLORES,LICENCIATURA EN ARTES,2020-12-10,,MICHAEL GONZALEZ,M,1996-12-17,6058,,ASHELTON@GMAIL.COM
33,UNIVERSIDAD DE FLORES,CIENCIAS VETERINARIAS,2020-11-29,,LOGAN CABRERA,M,1951-04-06,6628,,JENNIFER57@HOTMAIL.COM
34,UNIVERSIDAD DE FLORES,LICENCIATURA EN SOCIOLOGÍA ,2020-11-17,,NICOLE BRUCE,F,2006-08-16,7613,,RODRIGUEZMITCHELL@HOTMAIL.COM
35,UNIVERSIDAD DE FLORES,ARQUITECTURA,2021-01-26,,MICHAEL ADAMS,M,1946-09-16,3170,,QJOHNSON@YAHOO.COM
36,UNIVERSIDAD DE FLORES,LICENCIATURA EN RELACIONES DEL TRABAJO ,2020-09-01,,ROBERT RAMOS,M,1912-04-28,2826,,MARTHACURRY@HOTMAIL.COM
37,UNIVERSIDAD DE FLORES,CIENCIAS VETERINARIAS,2021-01-25,,CHERYL THOMPSON,F,1943-08-03,3185,,JOSEPH95@HOTMAIL.COM
38,UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-09-25,,JOSE CRUZ,M,1913-03-17,1653,,JEFFERYLANE@GMAIL.COM
39,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-10-12,,JENNIFER GONZALES,F,2011-08-31,7203,,GEORGEWANG@YAHOO.COM
40,UNIVERSIDAD DE FLORES,CONTADOR PÚBLICO ,2020-12-31,,ANDREW MILLER,M,1945-03-19,1842,,MATHEWSROBERT@GMAIL.COM
41,UNIVERSIDAD DE FLORES,INGENIERÍA EN INFORMÁTICA,2021-01-21,,MELINDA BROWN,F,1946-03-19,7203,,JOHNSONTONYA@HOTMAIL.COM
42,UNIVERSIDAD DE FLORES,LICENCIATURA EN SOCIOLOGÍA ,2020-12-18,,ANDREA GARCIA,F,1944-08-18,6007,,WALSHCOURTNEY@YAHOO.COM
43,UNIVERSIDAD DE FLORES,INGENIERÍA EN INFORMÁTICA,2020-11-02,,ARIEL TAYLOR,F,2006-06-29,2701,,CHRISTOPHER77@GMAIL.COM
44,UNIVERSIDAD DE FLORES,ARQUITECTURA,2020-11-21,,BRIAN MITCHELL,M,1988-08-05,3045,,RYANREED@GMAIL.COM
45,UNIVERSIDAD DE FLORES,INGENIERÍA ELECTRÓNICA,2020-12-04,,ANDREA WALKER,F,1957-03-01,2801,,DAVIDLEONARD@YAHOO.COM
46,UNIVERSIDAD DE FLORES,LICENCIATURA EN RELACIONES DEL TRABAJO ,2020-12-03,,DANIELLE RUSSELL,F,1978-03-21,6537,,ELIZABETHHODGE@GMAIL.COM
47,UNIVERSIDAD DE FLORES,LICENCIATURA EN ADMINISTRACIÓN ,2020-12-24,,KEVIN MILLER,M,1957-11-23,8117,,RHONDA96@YAHOO.COM
48,UNIVERSIDAD DE FLORES,LICENCIATURA EN ADMINISTRACIÓN ,2020-09-15,,EDGAR BARRETT,M,1918-12-10,4640,,JAMESMONTGOMERY@GMAIL.COM
49,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-11-09,,KATHRYN GILMORE,F,1940-05-04,2637,,ZYU@YAHOO.COM
50,UNIVERSIDAD DE FLORES,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2020-12-19,,NICOLE SANDERS,F,2011-06-21,6530,,RENEE90@GMAIL.COM
51,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-12-06,,ALLISON LOPEZ MD,F,1989-03-01,3048,,LROGERS@YAHOO.COM
52,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-09-02,,ALEXIS PRICE,F,1970-11-12,2216,,THOMPSONVICTORIA@YAHOO.COM
53,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-10-21,,DANA VILLARREAL,F,1953-02-14,4101,,BRIAN18@GMAIL.COM
54,UNIVERSIDAD DE FLORES,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2021-01-17,,MICHAEL OROZCO,M,1967-07-13,6321,,WOODJAMES@YAHOO.COM
55,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2021-01-24,,MELISSA ROLLINS,F,1936-06-17,1603,,LANDRYTINA@YAHOO.COM
56,UNIVERSIDAD DE FLORES,LICENCIATURA EN MUSICOTERAPIA,2021-01-30,,ALEXANDRA HANCOCK,F,1950-12-13,5444,,ASHLEY74@GMAIL.COM
57,UNIVERSIDAD DE FLORES,FARMACIA,2020-11-12,,JENNIFER TORRES,F,1938-05-27,6315,,IBAKER@YAHOO.COM
58,UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-11-29,,MITCHELL BROWN,M,1988-07-29,1808,,DAWNTAYLOR@YAHOO.COM
59,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-11-15,,DAVID GARRETT,M,1952-02-03,7267,,JENNIFERJOHNSON@YAHOO.COM
60,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2021-01-04,,KENNETH SNYDER,M,1927-04-18,1876,,DIANAWHITE@HOTMAIL.COM
61,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2021-01-22,,MANUEL RODRIGUEZ,M,2018-03-24,5503,,THOMASPAUL@HOTMAIL.COM
62,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-11-09,,ROGER ROBINSON,M,1955-11-10,1804,,DICKERSONSARAH@GMAIL.COM
63,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,2020-10-11,,ERICA JOHNSON,F,1939-04-28,1872,,SWASHINGTON@HOTMAIL.COM
64,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-11-17,,ROGER MCCOY,M,1979-11-02,1704,,XSMITH@GMAIL.COM
65,UNIVERSIDAD DE FLORES,CONTADOR PÚBLICO ,2020-11-18,,TERRY MCCORMICK,M,1932-01-17,3374,,JUANHERNANDEZ@GMAIL.COM
66,UNIVERSIDAD DE FLORES,INGENIERÍA ELECTRÓNICA,2021-01-08,,DANIEL STUART,M,1931-07-03,1718,,ISABELLAHARPER@HOTMAIL.COM
67,UNIVERSIDAD DE FLORES,TÉCNICO PARA BIOTERIOS ,2020-12-17,,MR. JONATHAN ROBERTS DVM,M,2009-06-26,3263,,KYLEBARKER@GMAIL.COM
68,UNIVERSIDAD DE FLORES,LICENCIATURA EN TERAPIA OCUPACIONAL,2020-12-03,,STEVEN CRAWFORD,M,2015-03-16,5438,,QHOLMES@YAHOO.COM
69,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-11-05,,JESSICA THOMAS,F,1923-03-26,5738,,PATELJODI@HOTMAIL.COM
70,UNIVERSIDAD DE FLORES,CIENCIAS VETERINARIAS,2020-11-04,,MEAGAN ROSS,F,1988-01-30,4119,,STEVEN82@YAHOO.COM
71,UNIVERSIDAD DE FLORES,MEDICINA,2020-10-12,,STEVEN JOHNSON,M,1948-10-24,3507,,PSALINAS@HOTMAIL.COM
72,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-12-27,,THOMAS FRANK,M,1974-01-16,6614,,ZBROWN@YAHOO.COM
73,UNIVERSIDAD DE FLORES,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2020-12-07,,PATRICK SANCHEZ,M,1950-11-03,1635,,STEPHENMULLEN@YAHOO.COM
74,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-09-27,,LORI HAYES,F,1985-09-12,8318,,USMITH@GMAIL.COM
75,UNIVERSIDAD DE FLORES,INGENIERÍA ELECTRÓNICA,2020-09-21,,STEVEN SMITH,M,1951-12-20,5425,,NATHAN15@GMAIL.COM
76,UNIVERSIDAD DE FLORES,ARQUITECTURA,2020-11-10,,ALICIA BLACKBURN,F,2016-05-11,7547,,KIRSTEN64@YAHOO.COM
77,UNIVERSIDAD DE FLORES,CONTADOR PÚBLICO ,2020-11-27,,TIMOTHY GARCIA,M,1910-03-25,3545,,JAMESCOX@YAHOO.COM
78,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-09-21,,JONATHAN BERRY,M,2011-03-04,3509,,BRANDON82@GMAIL.COM
79,UNIVERSIDAD DE FLORES,ARQUITECTURA,2020-12-24,,DOUGLAS HOWARD,M,1912-10-31,2147,,MATTHEWFERNANDEZ@GMAIL.COM
80,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,2021-01-06,,DAVID PALMER,M,1955-05-27,2501,,ARAMIREZ@GMAIL.COM
81,UNIVERSIDAD DE FLORES,LICENCIATURA EN TERAPIA OCUPACIONAL,2020-09-18,,CARLY NEWMAN,F,1976-04-11,2761,,GRIFFINCINDY@GMAIL.COM
82,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-12-13,,MEGHAN SILVA,F,1961-08-15,2828,,WATSONKEVIN@HOTMAIL.COM
83,UNIVERSIDAD DE FLORES,ARQUITECTURA,2020-10-16,,ALAN SANFORD,M,1930-11-03,5633,,WALKERKRISTINA@HOTMAIL.COM
84,UNIVERSIDAD DE FLORES,LICENCIATURA EN MUSICOTERAPIA,2020-10-16,,SHAWN TAYLOR,M,1911-06-30,1766,,HEATHERCOLLINS@YAHOO.COM
85,UNIVERSIDAD DE FLORES,INGENIERÍA ELECTRÓNICA,2020-09-02,,MICHAEL DAVIS,M,1996-02-15,6237,,QPATRICK@HOTMAIL.COM
86,UNIVERSIDAD DE FLORES,LICENCIATURA EN SOCIOLOGÍA ,2021-01-18,,TAMMY PACHECO MD,F,1922-11-10,5421,,DWATKINS@HOTMAIL.COM
87,UNIVERSIDAD DE FLORES,AGRONOMÍA,2020-10-31,,ROBERT CHAMBERS,M,2009-04-30,6471,,CHRISTOPHERPARKER@GMAIL.COM
88,UNIVERSIDAD DE FLORES,LICENCIATURA EN MUSICOTERAPIA,2020-11-10,,KAREN MARTINEZ,F,2001-10-15,9033,,KAITLINGONZALEZ@GMAIL.COM
89,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-09-09,,JONATHAN BELL,M,1983-01-08,5711,,KLEWIS@HOTMAIL.COM
90,UNIVERSIDAD DE FLORES,INGENIERÍA ELECTRÓNICA,2021-01-14,,JUAN HOOPER,M,1919-11-01,7541,,LCRAIG@HOTMAIL.COM
91,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-10-06,,JOSHUA WADE,M,1938-04-13,2703,,PDANIELS@GMAIL.COM
92,UNIVERSIDAD DE FLORES,ARQUITECTURA,2020-10-18,,JASON SMITH,M,1942-08-11,3020,,XKING@HOTMAIL.COM
93,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-11-04,,MIRANDA SIMS,F,1908-12-26,6500,,WALLSLUKE@GMAIL.COM
94,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,2020-11-16,,SEAN COLEMAN,M,1963-02-09,8313,,JUAN37@HOTMAIL.COM
95,UNIVERSIDAD DE FLORES,DISEÑO DE IMAGEN Y SONIDO,2020-11-23,,JEFFREY SANCHEZ,M,1970-10-04,7161,,HMELENDEZ@HOTMAIL.COM
96,UNIVERSIDAD DE FLORES,FARMACIA,2020-11-10,,MRS. SHANNON ALLEN,F,1949-09-02,3351,,SGOMEZ@YAHOO.COM
97,UNIVERSIDAD DE FLORES,CONTADOR PÚBLICO ,2020-12-19,,DAVID KENNEDY,M,1959-03-26,3364,,BENJAMINREED@YAHOO.COM
98,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIA POLÍTICA ,2020-10-11,,CHRISTINA LAWRENCE,F,1983-06-19,5535,,KAREN22@YAHOO.COM
99,UNIVERSIDAD DE FLORES,AGRONOMÍA,2021-01-02,,LARRY WILLIAMS,M,1964-05-20,3042,,TAYLOR31@YAHOO.COM
100,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2021-01-19,,REBECCA BRYANT,F,1908-06-04,5569,,EVANSMARK@YAHOO.COM
101,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2021-01-06,,MARIE SANCHEZ,F,2006-04-28,8431,,ANNETTEJOHNSON@YAHOO.COM
102,UNIVERSIDAD DE FLORES,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2020-09-15,,PATRICIA RICHARDSON,F,2008-06-28,9051,,TYLER61@HOTMAIL.COM
103,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-10-22,,TERESA TERRY,F,1995-05-31,7001,,KIMBERLY26@YAHOO.COM
104,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-10-18,,ALEJANDRA SCHROEDER,F,1961-12-17,2445,,BRIAN26@YAHOO.COM
105,UNIVERSIDAD DE FLORES,INGENIERÍA ELECTRÓNICA,2020-12-14,,ROBERT SANDERS II,M,1981-05-11,2401,,WILSONJESSICA@YAHOO.COM
106,UNIVERSIDAD DE FLORES,AGRONOMÍA,2020-12-06,,EMILY LOPEZ,F,2007-05-09,1804,,WATTSCAROLYN@GMAIL.COM
107,UNIVERSIDAD DE FLORES,ARQUITECTURA,2020-10-29,,TROY TAYLOR,M,1915-01-31,3150,,KEITHBURTON@GMAIL.COM
108,UNIVERSIDAD DE FLORES,LICENCIATURA EN RELACIONES DEL TRABAJO ,2020-11-19,,MARK JORDAN,M,1920-12-16,7221,,JACKSONSHAWN@GMAIL.COM
109,UNIVERSIDAD DE FLORES,LICENCIATURA EN TERAPIA OCUPACIONAL,2020-10-01,,VERONICA SHAW MD,F,1919-01-01,8122,,JFLEMING@GMAIL.COM
110,UNIVERSIDAD DE FLORES,CIENCIAS VETERINARIAS,2020-09-08,,JESSICA SMITH,F,2007-05-19,3530,,ALEXANDER67@HOTMAIL.COM
111,UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-09-27,,JEREMY ROSS,M,2018-10-09,1776,,MARTINMAY@HOTMAIL.COM
112,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2020-10-10,,THOMAS WATSON,M,1999-04-30,8503,,SIMPSONJOSE@YAHOO.COM
113,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,2020-12-27,,BROOKE FUENTES,F,2000-08-11,3581,,ZACHARYPHELPS@GMAIL.COM
114,UNIVERSIDAD DE FLORES,LICENCIATURA EN MUSICOTERAPIA,2020-10-14,,DANIEL OBRIEN,M,1994-02-15,6559,,SARAH24@GMAIL.COM
115,UNIVERSIDAD DE FLORES,LICENCIATURA EN MUSICOTERAPIA,2021-01-07,,JEFFREY DAVIS,M,1907-04-14,9111,,MATTHEW59@HOTMAIL.COM
116,UNIVERSIDAD DE FLORES,INGENIERÍA MECÁNICA,2020-11-17,,NANCY PEREZ,F,1947-01-20,4111,,FELICIADAVIS@YAHOO.COM
117,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-09-06,,CINDY KERR,F,1976-12-11,2639,,MELISSAANTHONY@GMAIL.COM
118,UNIVERSIDAD DE FLORES,INGENIERÍA EN INFORMÁTICA,2020-11-04,,BENJAMIN CHEN,M,2012-05-03,1716,,BILLY51@YAHOO.COM
119,UNIVERSIDAD DE FLORES,AGRONOMÍA,2020-11-01,,TAYLOR TAYLOR,F,2021-06-19,2905,,XBLAIR@GMAIL.COM
120,UNIVERSIDAD DE FLORES,INGENIERÍA ELECTRÓNICA,2020-09-23,,DAVID HICKS,M,1966-07-15,7135,,MARTINKYLE@HOTMAIL.COM
121,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-12-17,,JACOB BENITEZ,M,1921-05-06,7519,,MARCIA74@HOTMAIL.COM
122,UNIVERSIDAD DE FLORES,LICENCIATURA EN MUSICOTERAPIA,2021-01-23,,KELLY HAYS,F,1991-07-15,5444,,TODDSIMMONS@HOTMAIL.COM
123,UNIVERSIDAD DE FLORES,INGENIERÍA MECÁNICA,2020-12-30,,THOMAS JOHNSON,M,1909-08-07,6337,,TORRESKATRINA@YAHOO.COM
124,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-11-11,,NORMA PONCE,F,1922-04-29,3560,,JOHN34@HOTMAIL.COM
125,UNIVERSIDAD DE FLORES,LICENCIATURA EN RELACIONES DEL TRABAJO ,2021-01-04,,DANIEL COOPER,M,1954-02-17,5409,,LORETTAJONES@GMAIL.COM
126,UNIVERSIDAD DE FLORES,DISEÑO INDUSTRIAL,2020-11-10,,DANIEL SLOAN,M,1976-05-18,3113,,RICHARDNIELSEN@GMAIL.COM
127,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIA POLÍTICA ,2020-11-28,,JONATHAN THORNTON,M,1919-02-08,8430,,ROMANTARA@HOTMAIL.COM
128,UNIVERSIDAD DE FLORES,LICENCIATURA EN TERAPIA OCUPACIONAL,2020-12-13,,MELISSA HORTON,F,1976-03-03,2520,,SHEPHERDDANIEL@YAHOO.COM
129,UNIVERSIDAD DE FLORES,INGENIERÍA EN INFORMÁTICA,2020-10-20,,BARBARA NOLAN,F,1911-08-15,3200,,KAREN58@HOTMAIL.COM
130,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-10-26,,CALEB THOMPSON,M,2018-06-06,5703,,JONATHANMOSLEY@HOTMAIL.COM
131,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-11-28,,CYNTHIA MCLAUGHLIN,F,1907-06-10,1754,,ARMSTRONGWILLIAM@HOTMAIL.COM
132,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIA POLÍTICA ,2020-11-20,,BRITTANY COCHRAN,F,1985-03-14,7201,,CHEYENNE90@HOTMAIL.COM
133,UNIVERSIDAD DE FLORES,AGRONOMÍA,2020-10-17,,TIMOTHY BATES,M,2005-12-04,3545,,SABRINA91@YAHOO.COM
134,UNIVERSIDAD DE FLORES,LICENCIATURA EN PSICOLOGÍA,2020-11-13,,JOHN ALLEN,M,1923-05-19,7515,,BOBBYKNAPP@YAHOO.COM
135,UNIVERSIDAD DE FLORES,LICENCIATURA EN SOCIOLOGÍA ,2020-12-19,,SAMUEL DANIEL,M,2005-05-22,7221,,OLIVIA41@HOTMAIL.COM
136,UNIVERSIDAD DE FLORES,INGENIERÍA ELECTRÓNICA,2020-11-04,,MATTHEW LEWIS,M,1987-07-20,1814,,YLEWIS@HOTMAIL.COM
137,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,2020-09-18,,KELLI DAVIS,F,2004-02-06,3572,,ROGER23@YAHOO.COM
138,UNIVERSIDAD DE FLORES,LICENCIATURA EN MUSICOTERAPIA,2020-11-12,,BENJAMIN BENSON,M,1982-05-11,8115,,KRYSTAL96@YAHOO.COM
139,UNIVERSIDAD DE FLORES,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2021-01-14,,CORY REEVES,M,1966-09-03,6101,,LJACOBS@YAHOO.COM
140,UNIVERSIDAD DE FLORES,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2021-01-18,,LISA RAMIREZ,F,1917-03-30,8366,,DONNAPEREZ@GMAIL.COM
141,UNIVERSIDAD DE FLORES,INGENIERÍA ELECTRÓNICA,2020-12-06,,JAMES BARNES,M,1987-07-18,9221,,SAMANTHA11@YAHOO.COM
142,UNIVERSIDAD DE FLORES,ARQUITECTURA,2020-11-14,,OLIVIA BYRD,F,1994-09-10,8431,,TROYKIRBY@HOTMAIL.COM
143,UNIVERSIDAD DE FLORES,TÉCNICO PARA BIOTERIOS ,2020-09-06,,GINA JACKSON,F,2016-03-12,3318,,LISAROBINSON@HOTMAIL.COM
144,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-12-06,,ETHAN RICH,M,1955-01-05,5724,,KMORALES@YAHOO.COM
145,UNIVERSIDAD DE FLORES,DISEÑO DE IMAGEN Y SONIDO,2021-01-17,,ROGER ROBERTS,M,1984-03-31,1741,,MICHAEL86@YAHOO.COM
146,UNIVERSIDAD DE FLORES,INGENIERÍA ELECTRÓNICA,2020-11-17,,TYLER RICHARDSON,M,1927-04-20,3287,,JULIEREILLY@HOTMAIL.COM
147,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2020-11-21,,RICHARD BROOKS,M,1977-01-06,4640,,JOHN54@YAHOO.COM
148,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2021-01-07,,HEATHER ABBOTT,F,2010-05-31,2255,,GREGORYJAMES@HOTMAIL.COM
149,UNIVERSIDAD DE FLORES,CIENCIAS VETERINARIAS,2020-11-11,,MELANIE DIAZ,F,1952-05-19,3620,,KJONES@GMAIL.COM
150,UNIVERSIDAD DE FLORES,INGENIERÍA ELECTRÓNICA,2021-01-16,,CHRISTIAN REEVES,M,1906-04-14,3565,,FPATEL@YAHOO.COM
