,university,career,inscription_date,full_name,gender,date_of_birth,postal_code,location,email
21,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,2020-10-07,VICTORIA FORD,F,1931-11-17,6058,,DANAGOODWIN@HOTMAIL.COM
22,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,2021-01-07,RICHARD MORGAN,M,1909-05-22,8124,,ODONNELLGRANT@HOTMAIL.COM
23,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,2020-10-05,TYLER ROSS,M,1983-10-28,3261,,TANNERYOLANDA@HOTMAIL.COM
24,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,2021-01-08,JERRY JONES,M,1921-04-22,1812,,IRICHARDSON@YAHOO.COM
25,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2020-11-25,LATASHA COOK,F,1987-05-17,1665,,DEREK68@GMAIL.COM
26,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-24,SUSAN WALLACE,F,2003-03-13,2828,,LAUREN17@GMAIL.COM
27,UNIV. NACIONAL DEL COMAHUE,ACTUARIO ,2020-09-29,KELSEY POWELL,F,2012-05-29,4618,,RICHARDSTREVOR@HOTMAIL.COM
28,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,2020-11-29,ANA KEY,F,1977-06-04,6616,,RAMOSSTEVEN@GMAIL.COM
29,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-11-12,RENEE DAY,F,1981-11-21,9001,,WBLACK@GMAIL.COM
30,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,2020-10-19,TIMOTHY WOOD,M,1954-01-17,4101,,MALDONADOMICHAEL@YAHOO.COM
31,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,2020-11-04,AMY HOOVER,F,1912-11-17,3248,,HOBBSSABRINA@GMAIL.COM
32,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,2021-01-21,CHRISTINA MCCLURE,F,1919-01-29,8103,,BRADFORDKATHLEEN@GMAIL.COM
33,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,2020-12-01,LINDA HARRIS,F,1919-09-20,3048,,HPATTON@GMAIL.COM
34,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,2021-01-21,KAREN HURST,F,1949-07-21,7020,,RODNEY75@GMAIL.COM
35,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-11-13,ADAM MOORE,M,1957-02-12,1665,,BRANDON66@HOTMAIL.COM
36,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2020-10-19,CASSANDRA SERRANO,F,1993-09-26,8000,,AARONLOVE@HOTMAIL.COM
37,UNIV. NACIONAL DEL COMAHUE,ACTUARIO ,2020-09-25,LORI HERNANDEZ,F,2004-10-21,3714,,JUSTINGONZALES@YAHOO.COM
38,UNIV. NACIONAL DEL COMAHUE,CIENCIAS VETERINARIAS,2020-11-27,MAUREEN CLARKE,F,2017-11-08,2630,,PATRICKGRAY@GMAIL.COM
39,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-10-26,LINDA BRADLEY,F,1956-07-07,3400,,KATHLEENMILLER@HOTMAIL.COM
40,UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-11-23,JASON JAMES,M,1960-08-17,3574,,NICHOLAS57@GMAIL.COM
41,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,2020-11-23,DONNA CHAPMAN,F,1935-04-27,3224,,SCOTTHERRERA@GMAIL.COM
42,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2020-11-18,TYLER ODOM,M,1910-04-22,3474,,NCARTER@GMAIL.COM
43,UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,2021-01-23,LAUREN WOOD,F,1975-03-03,3014,,BRANDI48@GMAIL.COM
44,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2020-10-23,PARKER SHAW,M,2011-08-10,6652,,JOHNSONPATRICIA@HOTMAIL.COM
45,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA ELECTRÓNICA,2020-11-23,DAVID MILLER,M,1973-02-19,3048,,PTRAN@YAHOO.COM
46,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2021-01-27,COURTNEY BRYAN,F,1991-01-07,1856,,HOWARDZACHARY@HOTMAIL.COM
47,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,2020-10-05,JASMINE SALAZAR,F,2019-09-13,3425,,CAMERONSTEPHANIE@GMAIL.COM
48,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2021-01-30,KRISTEN LUCERO,F,1919-09-19,1923,,WHITEMATTHEW@HOTMAIL.COM
49,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-11-22,DANIEL ROBERTS,M,1978-06-12,1651,,XMORRIS@YAHOO.COM
50,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,2020-10-15,NICOLE WILLIAMS,F,1968-12-23,5735,,PAMELASOTO@HOTMAIL.COM
51,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,2020-12-12,LEAH BAKER,F,1964-12-19,2258,,APRILPARKS@GMAIL.COM
52,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ADMINISTRACIÓN ,2020-12-21,NANCY FLORES,F,1948-02-16,1755,,JACKSONCANTRELL@GMAIL.COM
53,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,2021-01-08,ANTHONY SWEENEY,M,1980-09-01,5722,,BROOKERICE@HOTMAIL.COM
54,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-10-23,DAVID ERICKSON,M,2012-01-08,2814,,CASEYBURGESS@YAHOO.COM
55,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,2020-09-22,KIMBERLY ESPARZA,F,1994-12-04,8307,,JEFFREYCOOPER@GMAIL.COM
56,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,2020-12-21,JOSE WILSON,M,1971-02-11,2500,,YSTEWART@YAHOO.COM
57,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2021-01-16,ANNA MORALES,F,1921-10-07,4651,,WOODJULIE@YAHOO.COM
58,UNIV. NACIONAL DEL COMAHUE,MEDICINA,2020-09-12,RICHARD SANCHEZ,M,1968-10-13,5470,,YYATES@YAHOO.COM
59,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,2021-01-05,KYLE HALL,M,1975-06-14,9420,,CHRISTINA68@YAHOO.COM
60,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,2020-12-09,ARTHUR JENKINS,M,1935-09-14,4182,,THOMPSONMARK@HOTMAIL.COM
61,UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-10-16,TRACY WEEKS DDS,F,2003-02-23,1676,,ROBERTROCHA@GMAIL.COM
62,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN TERAPIA OCUPACIONAL,2021-01-30,CORY CHURCH MD,M,1976-01-24,3334,,ASHLEYWILLIAMS@GMAIL.COM
63,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,2021-01-16,JACOB GARNER,M,2003-11-27,6207,,WARNERMICHAEL@YAHOO.COM
64,UNIV. NACIONAL DEL COMAHUE,CIENCIAS VETERINARIAS,2021-01-21,JONATHAN ORTEGA,M,1953-05-14,2248,,DAVID52@HOTMAIL.COM
65,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,2020-10-05,JEREMY MORRIS,M,1930-12-25,1603,,MISTY51@HOTMAIL.COM
66,UNIV. NACIONAL DEL COMAHUE,MEDICINA,2020-10-31,MARK MIDDLETON,M,1941-11-17,5713,,RHODESELIZABETH@YAHOO.COM
67,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-12-17,WILLIAM GILL,M,1940-08-01,5419,,LEWISJULIE@HOTMAIL.COM
68,UNIV. NACIONAL DEL COMAHUE,MEDICINA,2020-10-18,SAMANTHA BERNARD,F,1983-05-03,1815,,HEATHERLEE@YAHOO.COM
69,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,2020-09-15,ALEXANDER KRAMER,M,2021-01-23,2944,,JESSE67@YAHOO.COM
70,UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-09-10,STEVEN SMITH,M,1999-06-29,1627,,KRISTIN73@GMAIL.COM
71,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-09-26,DAVID KNIGHT,M,1964-09-04,4648,,TYLER23@YAHOO.COM
72,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2021-01-16,JOHN YU,M,1928-12-22,3380,,AARON55@YAHOO.COM
73,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2021-01-15,MICHAEL MONTOYA,M,1979-11-02,2701,,LMARTINEZ@GMAIL.COM
74,UNIV. NACIONAL DEL COMAHUE,ACTUARIO ,2021-01-03,PARKER HUNTER,M,2005-10-16,1619,,MICHEALDAVIS@HOTMAIL.COM
75,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-12-19,JEFFREY HENDERSON,M,1921-06-10,5300,,DURANJAMES@YAHOO.COM
76,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,2020-10-29,CHRISTOPHER GAINES,M,1954-12-15,2740,,BRITTANYMONTGOMERY@GMAIL.COM
77,UNIV. NACIONAL DEL COMAHUE,FARMACIA,2020-11-05,THOMAS MOORE,M,1964-05-27,8341,,STEPHANIEBARRON@YAHOO.COM
78,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2021-01-08,CHRISTIAN DENNIS,M,1971-09-03,6469,,JOHNJONES@YAHOO.COM
79,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN TERAPIA OCUPACIONAL,2020-12-10,MARTHA FERRELL,F,1985-04-25,3592,,BBEASLEY@HOTMAIL.COM
80,UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,2020-10-19,PETER SPENCER,M,2014-07-24,6001,,DONNAVALDEZ@HOTMAIL.COM
81,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-09-13,TYLER YOUNG,M,2001-06-17,7407,,JAMES90@HOTMAIL.COM
82,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2020-10-21,JACQUELINE INGRAM,F,1940-07-06,5529,,JOSEPH84@HOTMAIL.COM
83,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-09-10,ERICA HAMPTON,F,1984-07-21,6700,,CARMENWARREN@YAHOO.COM
84,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2020-12-28,JACQUELINE HAMILTON,F,1986-10-03,5615,,THOMAS65@GMAIL.COM
85,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,2020-10-24,RYAN FITZGERALD,M,2010-06-25,5357,,FOWLERMORGAN@YAHOO.COM
86,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-09-11,RONNIE WOOD,M,2004-02-07,7169,,LEWISLISA@HOTMAIL.COM
87,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,2020-10-27,COREY RHODES,M,1988-07-28,6051,,LOPEZSUSAN@GMAIL.COM
88,UNIV. NACIONAL DEL COMAHUE,BIOQUÍMICA,2020-12-29,JENNIFER LAM,F,1955-10-30,2633,,PEREZJEREMY@HOTMAIL.COM
89,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,2020-12-14,SARAH STANLEY,F,1961-07-29,6221,,MEDINABILLY@YAHOO.COM
90,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,2020-11-16,RICHARD JACOBS,M,1926-05-20,1911,,JENNIFER18@YAHOO.COM
91,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,2020-12-05,HEATHER MILLS,F,1935-10-16,3351,,RCHAVEZ@YAHOO.COM
92,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2020-10-21,TAMMY GIBSON,F,1944-04-17,6417,,JOHN91@HOTMAIL.COM
93,UNIV. NACIONAL DEL COMAHUE,FARMACIA,2020-10-09,BELINDA WILLIS,F,1985-03-29,6701,,GOLDENRYAN@HOTMAIL.COM
94,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,2020-10-20,PHILIP WANG,M,1914-03-23,8416,,LIUKATHRYN@YAHOO.COM
95,UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-12-18,STEVEN RASMUSSEN,M,1958-01-24,3583,,MARIO10@GMAIL.COM
96,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-09-29,HEATHER BURNS,F,1955-10-26,3313,,MICHAEL54@GMAIL.COM
97,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2020-09-07,MARK BRADLEY,M,1942-04-27,2113,,TWEBB@GMAIL.COM
98,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2021-01-27,TROY HARRIS,M,1907-02-03,3011,,BEVERLYCOX@GMAIL.COM
99,UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,2020-10-25,SARAH LOWE,F,1949-11-12,1886,,JAMESTHOMPSON@GMAIL.COM
100,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2020-09-24,JOSEPH BOYER,M,1906-03-07,2216,,GARY33@HOTMAIL.COM
101,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-11-30,MICHAEL WHITAKER,M,1957-03-20,8200,,PATRICK36@YAHOO.COM
102,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,2020-09-09,BRITTANY SOTO,F,1983-07-17,5511,,DUSTIN57@YAHOO.COM
103,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-09-10,RODNEY NEAL,M,1955-10-11,1646,,SCHMITTANTHONY@HOTMAIL.COM
104,UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-10-27,DONALD HARRELL,M,1978-12-26,8353,,MOORECARLOS@YAHOO.COM
105,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,2020-09-30,JESSICA GRIFFIN,F,2005-04-06,3714,,MARTINEZBONNIE@GMAIL.COM
106,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2021-01-09,AMY FLORES,F,1950-10-10,8200,,PCABRERA@HOTMAIL.COM
107,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,2020-11-27,DANIEL THOMAS,M,1963-05-14,1727,,SJOHNSON@GMAIL.COM
108,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,2020-10-14,PAULA SCOTT,F,1965-11-28,2173,,NICHOLAS30@GMAIL.COM
109,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-09-02,JOSEPH MCCARTHY,M,1986-03-25,2931,,LAURENCHURCH@HOTMAIL.COM
110,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2021-01-06,BRIAN NORTON,M,1929-09-30,6321,,KRISTEN61@YAHOO.COM
111,UNIV. NACIONAL DEL COMAHUE,MEDICINA,2020-10-10,KRISTINA WELCH,F,2013-06-12,7011,,BROWNLAWRENCE@HOTMAIL.COM
112,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2020-09-24,BREANNA WELLS,F,2020-09-20,5710,,KEVIN45@YAHOO.COM
113,UNIV. NACIONAL DEL COMAHUE,ACTUARIO ,2020-10-23,DEBRA SCOTT,F,1958-04-29,6389,,HSAMPSON@GMAIL.COM
114,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,2020-11-19,HAROLD MASON,M,1949-06-10,1925,,DEANTHOMAS@YAHOO.COM
115,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2020-10-30,GINA RUIZ,F,1938-08-24,5591,,ANDERSONDANIELLE@GMAIL.COM
116,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2020-09-28,LAURA NOLAN,F,2000-12-05,4650,,COOKBARRY@GMAIL.COM
117,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN TERAPIA OCUPACIONAL,2020-12-25,CAROLYN FISHER,F,1958-07-17,7221,,TAMMYAUSTIN@YAHOO.COM
118,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,2021-01-12,JESSICA SCHMITT,F,1932-10-13,5595,,MSTANLEY@GMAIL.COM
119,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ADMINISTRACIÓN ,2020-11-16,JAMES PARKER,M,1949-07-29,1702,,JESSICA21@HOTMAIL.COM
120,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2020-10-06,TYLER MORALES,M,1983-08-08,6667,,MICHAELHOGAN@GMAIL.COM
121,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-10-24,SARAH WILLIAMS,F,2012-01-22,2728,,WILLIAMREED@GMAIL.COM
122,UNIV. NACIONAL DEL COMAHUE,MEDICINA,2020-09-12,JOEL KELLY,M,1987-11-14,9030,,CHRISTOPHER34@GMAIL.COM
123,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,2020-11-24,AMANDA VAUGHN,F,1914-08-18,7261,,CHRISTOPHERCOLEMAN@GMAIL.COM
124,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2020-09-27,LINDA FIGUEROA,F,1981-10-13,4142,,VTORRES@YAHOO.COM
125,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-10-24,CYNTHIA RODGERS,F,1974-10-14,3386,,JOHNSONJASON@YAHOO.COM
126,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,2021-01-15,RACHEL PARKER,F,1914-06-16,8160,,MICHAEL14@HOTMAIL.COM
127,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,2020-11-04,JOAN BALDWIN,F,1958-01-25,6725,,FREYES@YAHOO.COM
128,UNIV. NACIONAL DEL COMAHUE,BIOQUÍMICA,2020-09-27,JESSICA JONES,F,1986-09-10,8151,,OBRENNAN@YAHOO.COM
129,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2021-01-26,STEPHANIE MCKNIGHT,F,2014-12-30,7505,,XFLORES@GMAIL.COM
130,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,2020-12-13,DENISE KENNEDY,F,2007-04-24,6632,,EBISHOP@YAHOO.COM
131,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-12-04,ALICE MOORE,F,1915-10-24,3177,,ESHIELDS@HOTMAIL.COM
132,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ADMINISTRACIÓN ,2020-11-14,REBECCA JOHNSON,F,2002-02-23,6723,,DAVID74@HOTMAIL.COM
133,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-11-16,DANIEL COBB,M,1997-06-08,6434,,SALVARADO@GMAIL.COM
134,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,2021-01-09,SUZANNE PEARSON,F,1962-07-05,6330,,KEITH43@YAHOO.COM
135,UNIV. NACIONAL DEL COMAHUE,FARMACIA,2020-10-21,MARY PEREZ,F,1929-04-13,2745,,MZIMMERMAN@GMAIL.COM
136,UNIV. NACIONAL DEL COMAHUE,BIOQUÍMICA,2021-01-26,JAMIE MARTIN,F,1922-12-25,2216,,ANNE53@HOTMAIL.COM
137,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,2020-10-08,JULIE GARCIA,F,1963-12-07,5577,,DANIEL38@HOTMAIL.COM
138,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2021-01-25,KRISTINE EDWARDS,F,2012-02-16,4231,,MDURAN@YAHOO.COM
139,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-09-25,ALICIA ZIMMERMAN,F,1972-03-31,6453,,JASONPARKS@HOTMAIL.COM
140,UNIV. NACIONAL DEL COMAHUE,MEDICINA,2020-10-20,COLLEEN RODRIGUEZ,F,2007-11-15,6070,,WADECHERYL@GMAIL.COM
141,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2021-01-20,MARY ALVAREZ,F,1920-10-31,9035,,IWRIGHT@YAHOO.COM
142,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-11-08,NICHOLAS MATTHEWS,M,2018-10-14,2000,,MICHAELARELLANO@YAHOO.COM
143,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2021-01-23,MARK ARNOLD,M,2020-03-22,5773,,CAMPBELLSAMANTHA@HOTMAIL.COM
144,UNIV. NACIONAL DEL COMAHUE,CIENCIAS VETERINARIAS,2020-10-20,CHRISTOPHER NORMAN,M,1959-09-20,3326,,MILLERTIMOTHY@YAHOO.COM
145,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,2020-09-01,TIMOTHY DYER,M,1913-04-03,5429,,MARIAJACKSON@HOTMAIL.COM
146,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,2021-01-05,ELIZABETH ALVAREZ,F,2014-11-29,8521,,IROBLES@HOTMAIL.COM
147,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN TERAPIA OCUPACIONAL,2020-12-24,RODNEY PATTERSON,M,1955-02-09,7517,,COURTNEYCISNEROS@GMAIL.COM
